state_name,state_abbr,rural_status,avg_score,total_underserved,total_shortage_areas,total_providers_needed
U.S. Virgin Islands,VI,Rural,17.6,11289,5,4
Puerto Rico,PR,Non-Rural,13.7,65822,28,24
Wyoming,WY,Rural,15.6,45659,28,14
Wyoming,WY,Partially Rural,14.2,101874,21,31
Wyoming,WY,Unknown,12.0,12514,3,4
Wisconsin,WI,Rural,13.6,151665,122,54
Wisconsin,WI,Non-Rural,13.4,9189725,390,3072
Wisconsin,WI,Partially Rural,15.0,81409,3,26
Marshall Islands,MH,Rural,25.0,1647898,31,549
Guam,GU,Rural,15.8,11796,4,5
Federated States of Micronesia,FM,Rural,23.9,99674,8,33
American Samoa,AS,Rural,21.7,260045,6,87
Wyoming,WY,Non-Rural,22.0,0,4,0
West Virginia,WV,Rural,17.3,245122,99,88
West Virginia,WV,Non-Rural,15.2,62521,16,23
Puerto Rico,PR,Partially Rural,16.4,313197,7,104
Puerto Rico,PR,Rural,16.7,26592,7,9
Republic of Palau,PW,Rural,24.0,318512,17,106
Northern Mariana Islands,MP,Rural,16.4,39160,5,11
Marshall Islands,MH,Non-Rural,24.0,0,1,0
Washington,WA,Non-Rural,14.3,27754023,430,8260
Washington,WA,Rural,13.8,531363,136,160
Washington,WA,Partially Rural,12.6,2611518,58,749
Washington,WA,Unknown,9.4,17172,16,5
Virginia,VA,Non-Rural,14.6,1023435,80,340
Virginia,VA,Rural,14.6,417709,124,144
Virginia,VA,Partially Rural,12.1,93635,8,31
Virginia,VA,Unknown,15.0,0,2,3
Vermont,VT,Rural,7.4,6603,14,2
Vermont,VT,Partially Rural,10.0,12313,7,4
West Virginia,WV,Partially Rural,15.9,111591,8,36
Vermont,VT,Non-Rural,8.0,0,1,0
Utah,UT,Rural,12.4,61405,46,19
Utah,UT,Non-Rural,12.4,12127037,96,3470
Texas,TX,Rural,14.9,1489763,264,500
Texas,TX,Non-Rural,15.5,32949560,914,10710
Texas,TX,Partially Rural,13.9,1299103,53,413
Texas,TX,Not Applicable,15.5,28719,2,8
Utah,UT,Partially Rural,11.5,324405,11,94
Utah,UT,Unknown,17.0,5629,1,2
Tennessee,TN,Non-Rural,15.6,9070566,424,3024
Tennessee,TN,Rural,15.5,568529,121,188
Tennessee,TN,Partially Rural,13.3,187565,11,62
South Dakota,SD,Rural,14.8,127516,91,41
South Dakota,SD,Partially Rural,14.0,30959,2,9
South Carolina,SC,Non-Rural,9.3,981430,146,311
South Carolina,SC,Rural,16.5,205025,57,79
South Carolina,SC,Partially Rural,10.5,234316,28,75
North Dakota,ND,Rural,14.4,101507,79,31
South Dakota,SD,Non-Rural,14.2,119366,20,40
Rhode Island,RI,Non-Rural,14.3,38033,13,13
Rhode Island,RI,Rural,10.0,4101,2,1
Pennsylvania,PA,Rural,12.4,278474,116,120
Pennsylvania,PA,Non-Rural,13.2,1345604,137,459
Pennsylvania,PA,Partially Rural,13.0,774902,188,257
New Jersey,NJ,Non-Rural,11.7,1148551,140,336
Oregon,OR,Non-Rural,16.0,461296,40,132
Oregon,OR,Rural,14.2,211900,97,75
Oregon,OR,Partially Rural,12.9,1120214,15,339
Oregon,OR,Unknown,6.0,0,1,2
Oklahoma,OK,Non-Rural,18.0,3546257,101,1234
Oklahoma,OK,Rural,16.7,470271,158,156
Oklahoma,OK,Partially Rural,16.3,82538,9,28
Ohio,OH,Non-Rural,17.4,51071117,988,17035
Ohio,OH,Rural,13.9,597453,118,211
Ohio,OH,Partially Rural,14.9,273758,21,90
Ohio,OH,Unknown,14.0,108490,10,36
North Dakota,ND,Non-Rural,15.0,0,3,1
North Carolina,NC,Non-Rural,15.8,12571165,485,4202
North Carolina,NC,Rural,15.2,570706,144,205
North Carolina,NC,Partially Rural,15.1,1000057,71,329
New York,NY,Rural,15.6,345630,68,116
New York,NY,Non-Rural,16.1,153171595,1734,51053
North Dakota,ND,Partially Rural,16.2,270253,53,82
North Carolina,NC,Unknown,14.7,7309,3,2
New York,NY,Unknown,16.7,32037,7,12
New York,NY,Partially Rural,14.9,293416,16,98
New Mexico,NM,Rural,18.4,265574,77,86
New Mexico,NM,Partially Rural,17.0,450556,8,149
